Gen;Avg Gen Fitness;Fit of Gen best;Fit of Total Best;total best contact cnt;total best overlaps cnt;crossover rate;mutation rate
101;8,424286;10,000000;10,000000;10;0;0,000000;0,000000
102;8,363500;10,000000;10,000000;10;0;0,000000;0,000000
103;8,446667;10,000000;10,000000;10;0;0,000000;0,000000
104;8,535833;10,000000;10,000000;10;0;0,000000;0,000000
105;8,704167;10,000000;10,000000;10;0;0,000000;0,000000
106;8,570298;10,000000;10,000000;10;0;0,000000;0,000000
107;8,445000;10,000000;10,000000;10;0;0,000000;0,000000
108;8,477500;10,000000;10,000000;10;0;0,000000;0,000000
109;8,503333;10,000000;10,000000;10;0;0,000000;0,000000
110;8,386538;10,000000;10,000000;10;0;0,000000;0,000000
111;8,531786;10,000000;10,000000;10;0;0,000000;0,000000
112;8,497705;10,000000;10,000000;10;0;0,000000;0,000000
113;8,556667;10,000000;10,000000;10;0;0,000000;0,000000
114;8,511667;10,000000;10,000000;10;0;0,000000;0,000000
115;8,457143;10,000000;10,000000;10;0;0,000000;0,000000
116;8,630000;10,000000;10,000000;10;0;0,000000;0,000000
117;8,850000;10,000000;10,000000;10;0;0,000000;0,000000
118;8,714167;10,000000;10,000000;10;0;0,000000;0,000000
119;8,709833;10,000000;10,000000;10;0;0,000000;0,000000
120;8,857727;10,000000;10,000000;10;0;0,000000;0,000000
121;8,790455;10,000000;10,000000;10;0;0,000000;0,000000
122;8,607061;10,000000;10,000000;10;0;0,000000;0,000000
123;8,450774;10,000000;10,000000;10;0;0,000000;0,000000
124;8,547917;10,000000;10,000000;10;0;0,000000;0,000000
125;8,682333;10,000000;10,000000;10;0;0,000000;0,000000
126;8,781548;10,000000;10,000000;10;0;0,000000;0,000000
127;8,930000;10,000000;10,000000;10;0;0,000000;0,000000
128;8,868500;10,000000;10,000000;10;0;0,000000;0,000000
129;8,789500;10,000000;10,000000;10;0;0,000000;0,000000
130;8,633167;10,000000;10,000000;10;0;0,000000;0,000000
131;8,825000;10,000000;10,000000;10;0;0,000000;0,000000
132;8,755000;10,000000;10,000000;10;0;0,000000;0,000000
133;8,856667;10,000000;10,000000;10;0;0,000000;0,000000
134;8,881875;10,000000;10,000000;10;0;0,000000;0,000000
135;8,865000;10,000000;10,000000;10;0;0,000000;0,000000
136;8,939423;10,000000;10,000000;10;0;0,000000;0,000000
137;8,809333;10,000000;10,000000;10;0;0,000000;0,000000
138;8,835333;10,000000;10,000000;10;0;0,000000;0,000000
139;8,906667;10,000000;10,000000;10;0;0,000000;0,000000
140;8,952333;10,000000;10,000000;10;0;0,000000;0,000000
141;8,925333;10,000000;10,000000;10;0;0,000000;0,000000
142;8,765060;10,000000;10,000000;10;0;0,000000;0,000000
143;8,962679;10,000000;10,000000;10;0;0,000000;0,000000
144;9,062500;10,000000;10,000000;10;0;0,000000;0,000000
145;9,145000;10,000000;10,000000;10;0;0,000000;0,000000
146;9,105000;10,000000;10,000000;10;0;0,000000;0,000000
147;9,031429;10,000000;10,000000;10;0;0,000000;0,000000
148;8,941250;10,000000;10,000000;10;0;0,000000;0,000000
149;9,018000;10,000000;10,000000;10;0;0,000000;0,000000
150;8,992167;10,000000;10,000000;10;0;0,000000;0,000000
151;8,905000;10,000000;10,000000;10;0;0,000000;0,000000
152;8,885333;10,000000;10,000000;10;0;0,000000;0,000000
153;8,892000;10,000000;10,000000;10;0;0,000000;0,000000
154;8,974083;10,000000;10,000000;10;0;0,000000;0,000000
155;8,883333;10,000000;10,000000;10;0;0,000000;0,000000
156;8,567875;10,000000;10,000000;10;0;0,000000;0,000000
157;8,732762;10,000000;10,000000;10;0;0,000000;0,000000
158;8,634643;10,000000;10,000000;10;0;0,000000;0,000000
159;8,672889;10,000000;10,000000;10;0;0,000000;0,000000
160;8,886524;10,000000;10,000000;10;0;0,000000;0,000000
161;8,923333;10,000000;10,000000;10;0;0,000000;0,000000
162;8,949333;10,000000;10,000000;10;0;0,000000;0,000000
163;8,808333;10,000000;10,000000;10;0;0,000000;0,000000
164;8,786667;10,000000;10,000000;10;0;0,000000;0,000000
165;8,652214;10,000000;10,000000;10;0;0,000000;0,000000
166;8,901833;10,000000;10,000000;10;0;0,000000;0,000000
167;8,885833;10,000000;10,000000;10;0;0,000000;0,000000
168;9,097500;10,000000;10,000000;10;0;0,000000;0,000000
169;9,125000;10,000000;10,000000;10;0;0,000000;0,000000
170;9,061250;10,000000;10,000000;10;0;0,000000;0,000000
171;8,993773;10,000000;10,000000;10;0;0,000000;0,000000
172;9,177500;10,000000;10,000000;10;0;0,000000;0,000000
173;9,167500;10,000000;10,000000;10;0;0,000000;0,000000
174;9,087500;10,000000;10,000000;10;0;0,000000;0,000000
175;8,840833;10,000000;10,000000;10;0;0,000000;0,000000
176;8,885000;10,000000;10,000000;10;0;0,000000;0,000000
177;8,905667;10,000000;10,000000;10;0;0,000000;0,000000
178;9,122000;10,000000;10,000000;10;0;0,000000;0,000000
179;9,174000;10,000000;10,000000;10;0;0,000000;0,000000
180;9,079000;10,000000;10,000000;10;0;0,000000;0,000000
181;9,243000;10,000000;10,000000;10;0;0,000000;0,000000
182;9,365857;10,000000;10,000000;10;0;0,000000;0,000000
183;9,341190;10,000000;10,000000;10;0;0,000000;0,000000
184;9,441667;10,000000;10,000000;10;0;0,000000;0,000000
185;9,482778;10,000000;10,000000;10;0;0,000000;0,000000
186;9,422560;10,000000;10,000000;10;0;0,000000;0,000000
187;9,460000;10,000000;10,000000;10;0;0,000000;0,000000
188;9,408929;10,000000;10,000000;10;0;0,000000;0,000000
189;9,540000;10,000000;10,000000;10;0;0,000000;0,000000
190;9,390714;10,000000;10,000000;10;0;0,000000;0,000000
191;9,476667;10,000000;10,000000;10;0;0,000000;0,000000
192;9,543333;10,000000;10,000000;10;0;0,000000;0,000000
193;9,390000;10,000000;10,000000;10;0;0,000000;0,000000
