Gen;Avg Gen Fitness;Fit of Gen best;Fit of Total Best;total best contact cnt;total best overlaps cnt
107;1,400000;1,400000;2,333333;7;2
108;1,400000;1,400000;2,333333;7;2
109;1,400000;1,400000;2,333333;7;2
110;1,400000;1,400000;2,333333;7;2
111;1,400000;1,400000;2,333333;7;2
112;1,400000;1,400000;2,333333;7;2
113;1,400000;1,400000;2,333333;7;2
114;1,400000;1,400000;2,333333;7;2
115;1,400000;1,400000;2,333333;7;2
116;1,400000;1,400000;2,333333;7;2
117;1,400000;1,400000;2,333333;7;2
118;1,400000;1,400000;2,333333;7;2
119;1,400000;1,400000;2,333333;7;2
120;1,400000;1,400000;2,333333;7;2
121;1,400000;1,400000;2,333333;7;2
122;1,400000;1,400000;2,333333;7;2
123;1,400000;1,400000;2,333333;7;2
124;1,400000;1,400000;2,333333;7;2
125;1,400000;1,400000;2,333333;7;2
126;1,400000;1,400000;2,333333;7;2
127;1,400000;1,400000;2,333333;7;2
128;1,400000;1,400000;2,333333;7;2
129;1,400000;1,400000;2,333333;7;2
130;1,400000;1,400000;2,333333;7;2
131;1,400000;1,400000;2,333333;7;2
132;1,400000;1,400000;2,333333;7;2
133;1,400000;1,400000;2,333333;7;2
134;1,400000;1,400000;2,333333;7;2
135;1,400000;1,400000;2,333333;7;2
136;1,400000;1,400000;2,333333;7;2
137;1,400000;1,400000;2,333333;7;2
138;1,400000;1,400000;2,333333;7;2
139;1,400000;1,400000;2,333333;7;2
140;1,400000;1,400000;2,333333;7;2
141;1,400000;1,400000;2,333333;7;2
142;1,400000;1,400000;2,333333;7;2
143;1,400000;1,400000;2,333333;7;2
144;1,400000;1,400000;2,333333;7;2
145;1,400000;1,400000;2,333333;7;2
146;1,400000;1,400000;2,333333;7;2
147;1,400000;1,400000;2,333333;7;2
148;1,400000;1,400000;2,333333;7;2
149;1,400000;1,400000;2,333333;7;2
150;1,400000;1,400000;2,333333;7;2
151;1,400000;1,400000;2,333333;7;2
152;1,400000;1,400000;2,333333;7;2
153;1,400000;1,400000;2,333333;7;2
154;1,400000;1,400000;2,333333;7;2
155;1,400000;1,400000;2,333333;7;2
156;1,400000;1,400000;2,333333;7;2
157;1,400000;1,400000;2,333333;7;2
158;1,400000;1,400000;2,333333;7;2
159;1,400000;1,400000;2,333333;7;2
160;1,400000;1,400000;2,333333;7;2
161;1,400000;1,400000;2,333333;7;2
162;1,400000;1,400000;2,333333;7;2
163;1,400000;1,400000;2,333333;7;2
164;1,400000;1,400000;2,333333;7;2
165;1,400000;1,400000;2,333333;7;2
166;1,400000;1,400000;2,333333;7;2
167;1,400000;1,400000;2,333333;7;2
168;1,400000;1,400000;2,333333;7;2
169;1,400000;1,400000;2,333333;7;2
170;1,400000;1,400000;2,333333;7;2
171;1,400000;1,400000;2,333333;7;2
172;1,400000;1,400000;2,333333;7;2
173;1,400000;1,400000;2,333333;7;2
174;1,400000;1,400000;2,333333;7;2
175;1,400000;1,400000;2,333333;7;2
176;1,400000;1,400000;2,333333;7;2
177;1,400000;1,400000;2,333333;7;2
178;1,400000;1,400000;2,333333;7;2
179;1,400000;1,400000;2,333333;7;2
180;1,400000;1,400000;2,333333;7;2
181;1,400000;1,400000;2,333333;7;2
182;1,400000;1,400000;2,333333;7;2
183;1,400000;1,400000;2,333333;7;2
184;1,400000;1,400000;2,333333;7;2
185;1,400000;1,400000;2,333333;7;2
186;1,400000;1,400000;2,333333;7;2
187;1,400000;1,400000;2,333333;7;2
188;1,400000;1,400000;2,333333;7;2
189;1,400000;1,400000;2,333333;7;2
190;1,400000;1,400000;2,333333;7;2
191;1,400000;1,400000;2,333333;7;2
192;1,400000;1,400000;2,333333;7;2
193;1,400000;1,400000;2,333333;7;2
194;1,400000;1,400000;2,333333;7;2
195;1,400000;1,400000;2,333333;7;2
196;1,400000;1,400000;2,333333;7;2
197;1,400000;1,400000;2,333333;7;2
198;1,400000;1,400000;2,333333;7;2
199;1,400000;1,400000;2,333333;7;2
200;1,400000;1,400000;2,333333;7;2
201;1,400000;1,400000;2,333333;7;2
202;1,400000;1,400000;2,333333;7;2
203;1,400000;1,400000;2,333333;7;2
204;1,400000;1,400000;2,333333;7;2
205;1,400000;1,400000;2,333333;7;2
206;1,400000;1,400000;2,333333;7;2
207;1,400000;1,400000;2,333333;7;2
208;1,400000;1,400000;2,333333;7;2
209;1,400000;1,400000;2,333333;7;2
210;1,400000;1,400000;2,333333;7;2
211;1,400000;1,400000;2,333333;7;2
212;1,400000;1,400000;2,333333;7;2
213;1,400000;1,400000;2,333333;7;2
214;1,400000;1,400000;2,333333;7;2
215;1,400000;1,400000;2,333333;7;2
216;1,400000;1,400000;2,333333;7;2
217;1,400000;1,400000;2,333333;7;2
218;1,400000;1,400000;2,333333;7;2
219;1,400000;1,400000;2,333333;7;2
220;1,400000;1,400000;2,333333;7;2
221;1,400000;1,400000;2,333333;7;2
222;1,400000;1,400000;2,333333;7;2
223;1,400000;1,400000;2,333333;7;2
224;1,400000;1,400000;2,333333;7;2
225;1,400000;1,400000;2,333333;7;2
226;1,400000;1,400000;2,333333;7;2
227;1,400000;1,400000;2,333333;7;2
228;1,400000;1,400000;2,333333;7;2
229;1,400000;1,400000;2,333333;7;2
230;1,400000;1,400000;2,333333;7;2
231;1,400000;1,400000;2,333333;7;2
232;1,400000;1,400000;2,333333;7;2
233;1,400000;1,400000;2,333333;7;2
234;1,400000;1,400000;2,333333;7;2
235;1,400000;1,400000;2,333333;7;2
236;1,400000;1,400000;2,333333;7;2
237;1,400000;1,400000;2,333333;7;2
238;1,400000;1,400000;2,333333;7;2
239;1,400000;1,400000;2,333333;7;2
240;1,400000;1,400000;2,333333;7;2
241;1,400000;1,400000;2,333333;7;2
242;1,400000;1,400000;2,333333;7;2
243;1,400000;1,400000;2,333333;7;2
244;1,400000;1,400000;2,333333;7;2
245;1,400000;1,400000;2,333333;7;2
246;1,400000;1,400000;2,333333;7;2
247;1,400000;1,400000;2,333333;7;2
248;1,400000;1,400000;2,333333;7;2
249;1,400000;1,400000;2,333333;7;2
250;1,400000;1,400000;2,333333;7;2
251;1,400000;1,400000;2,333333;7;2
252;1,400000;1,400000;2,333333;7;2
253;1,400000;1,400000;2,333333;7;2
254;1,400000;1,400000;2,333333;7;2
255;1,400000;1,400000;2,333333;7;2
256;1,400000;1,400000;2,333333;7;2
257;1,400000;1,400000;2,333333;7;2
258;1,400000;1,400000;2,333333;7;2
259;1,400000;1,400000;2,333333;7;2
260;1,400000;1,400000;2,333333;7;2
261;1,400000;1,400000;2,333333;7;2
262;1,400000;1,400000;2,333333;7;2
263;1,400000;1,400000;2,333333;7;2
264;1,400000;1,400000;2,333333;7;2
265;1,400000;1,400000;2,333333;7;2
266;1,400000;1,400000;2,333333;7;2
267;1,400000;1,400000;2,333333;7;2
268;1,400000;1,400000;2,333333;7;2
269;1,400000;1,400000;2,333333;7;2
270;1,400000;1,400000;2,333333;7;2
271;1,400000;1,400000;2,333333;7;2
272;1,400000;1,400000;2,333333;7;2
273;1,400000;1,400000;2,333333;7;2
274;1,400000;1,400000;2,333333;7;2
275;1,400000;1,400000;2,333333;7;2
276;1,400000;1,400000;2,333333;7;2
277;1,400000;1,400000;2,333333;7;2
278;1,400000;1,400000;2,333333;7;2
279;1,400000;1,400000;2,333333;7;2
280;1,400000;1,400000;2,333333;7;2
281;1,400000;1,400000;2,333333;7;2
282;1,400000;1,400000;2,333333;7;2
283;1,400000;1,400000;2,333333;7;2
284;1,400000;1,400000;2,333333;7;2
285;1,400000;1,400000;2,333333;7;2
286;1,400000;1,400000;2,333333;7;2
287;1,400000;1,400000;2,333333;7;2
288;1,400000;1,400000;2,333333;7;2
289;1,400000;1,400000;2,333333;7;2
290;1,400000;1,400000;2,333333;7;2
291;1,400000;1,400000;2,333333;7;2
292;1,400000;1,400000;2,333333;7;2
293;1,400000;1,400000;2,333333;7;2
294;1,400000;1,400000;2,333333;7;2
295;1,400000;1,400000;2,333333;7;2
296;1,400000;1,400000;2,333333;7;2
297;1,400000;1,400000;2,333333;7;2
298;1,400000;1,400000;2,333333;7;2
299;1,400000;1,400000;2,333333;7;2
300;1,400000;1,400000;2,333333;7;2
301;1,400000;1,400000;2,333333;7;2
302;1,400000;1,400000;2,333333;7;2
303;1,400000;1,400000;2,333333;7;2
304;1,400000;1,400000;2,333333;7;2
305;1,400000;1,400000;2,333333;7;2
306;1,400000;1,400000;2,333333;7;2
307;1,400000;1,400000;2,333333;7;2
308;1,400000;1,400000;2,333333;7;2
309;1,400000;1,400000;2,333333;7;2
310;1,400000;1,400000;2,333333;7;2
311;1,400000;1,400000;2,333333;7;2
312;1,400000;1,400000;2,333333;7;2
313;1,400000;1,400000;2,333333;7;2
314;1,400000;1,400000;2,333333;7;2
